108.120697 -167.1502991 -17.022686  -108.120697 167.1502991
111.7575226 -160.6895905 -13.23385239  -111.7575226 160.6895905
111.9017792 -160.5794983 -13.15125847  -111.9017792 160.5794983
113.133461 -156.6442871 -12.05983925  -113.133461 156.6442871
113.9071274 -153.7290344 -11.64461517  -113.9071274 153.7290344
114.7600098 -149.259201 -11.90093899  -114.7600098 149.259201
114.8039551 -147.6821594 -12.01010132  -114.8039551 147.6821594
115.2296219 -143.9408112 -12.11782837  -115.2296219 143.9408112
115.2213898 -143.2403259 -12.03884888  -115.2213898 143.2403259
115.3324738 -139.6461182 -11.45921326  -115.3324738 139.6461182
115.4911728 -137.2171021 -11.22026062  -115.4911728 137.2171021
115.3363953 -135.6423645 -11.18294525  -115.3363953 135.6423645
115.3969421 -134.4458771 -11.28003311  -115.3969421 134.4458771
115.2912827 -133.4681244 -11.405159  -115.2912827 133.4681244
115.2077484 -133.0994568 -11.4652338  -115.2077484 133.0994568
115.1258011 -132.3096466 -11.56528091  -115.1258011 132.3096466
115.059166 -131.3808289 -11.71579552  -115.059166 131.3808289
114.8900909 -130.172699 -11.9914484  -114.8900909 130.172699
114.8271408 -129.7121887 -12.12615967  -114.8271408 129.7121887
114.7471161 -129.3283997 -12.2425251  -114.7471161 129.3283997
115.4720764 -122.807663 -13.15961742  -115.4720764 122.807663
115.5100403 -121.4431763 -13.04037094  -115.5100403 121.4431763
116.5564346 -113.2306595 -12.12074661  -116.5564346 113.2306595
117.0961761 -110.1037292 -11.87438679  -117.0961761 110.1037292
117.2418823 -109.5889359 -11.87557793  -117.2418823 109.5889359
117.2451019 -109.5690002 -11.87490082  -117.2451019 109.5690002
117.847084 -105.9789047 -11.67188358  -117.847084 105.9789047
117.8709946 -104.5209274 -11.63241863  -117.8709946 104.5209274
117.9912643 -103.55336 -11.60603809  -117.9912643 103.55336
118.0604858 -102.7000351 -11.16704655  -118.0604858 102.7000351
118.0643158 -102.6874771 -11.16074276  -118.0643158 102.6874771
118.2892838 -101.4902649 -10.68823433  -118.2892838 101.4902649
118.4762878 -100.4018631 -10.38532925  -118.4762878 100.4018631
118.9909668 -96.71876526 -9.803686142  -118.9909668 96.71876526
119.9029541 -89.34520721 -9.172025681  -119.9029541 89.34520721
120.0011292 -88.32180786 -9.103992462  -120.0011292 88.32180786
120.2444305 -86.40136719 -8.79191494  -120.2444305 86.40136719
120.9081039 -83.19928741 -8.443577766  -120.9081039 83.19928741
121.225502 -79.8591156 -8.146227837  -121.225502 79.8591156
121.4061279 -79.25324249 -8.127220154  -121.4061279 79.25324249
122.3007278 -76.80710602 -7.653652191  -122.3007278 76.80710602
122.7163773 -75.30937958 -7.264882088  -122.7163773 75.30937958
